data,preco_tecnico,preco_hibrido_base,preco_hibrido_bear,preco_hibrido_bull,ancora_dcf_base,ancora_dcf_bear,ancora_dcf_bull,intervalo_lo,intervalo_hi,previsao_media,previsao_std
2026-04-20,73.04419403076172,73.15663904465609,71.99015900765883,74.56222924246806,74.6307960031425,73.44081058528123,76.06470981721056,71.94070909579237,74.3725689935198,73.15663904465609,0.6203724228896538
2026-04-21,72.99304504394532,73.11897540893084,71.89225140791116,74.59852551845029,74.67744398943987,73.42457341289922,76.18852944728823,71.85432662928461,74.38362418857706,73.11897540893084,0.6452289692072531
2026-04-22,72.93975982666015,73.08009791692487,71.79326543263278,74.63358000086157,74.72412113306562,73.4083398304254,76.31255063339405,71.76852811071582,74.39166772313392,73.08009791692487,0.6691682684740072
2026-04-23,72.88483276367188,73.04048417513275,71.69367278378179,74.66787716992454,74.77082745224453,73.39210983706606,76.43677370362488,71.68370189803086,74.39726645223463,73.04048417513275,0.6922358556642242
2026-04-24,72.82931823730469,73.00111662741608,71.59443868215425,74.70242005817724,74.81756296521277,73.37588343202768,76.56119898661167,71.60136187069897,74.4008713841332,73.00111662741608,0.7141605901617943
2026-04-27,72.77351684570313,72.96227542673645,71.49583691069024,74.73749634540889,74.86432769021795,73.35966061451691,76.68582681152031,71.52253054931607,74.40202030415684,72.96227542673645,0.7345637129695817
2026-04-28,72.71649169921875,72.92311366473132,71.39703684985476,74.77223922273917,74.91112164551902,73.3434413837406,76.81065750805253,71.44656368809073,74.3996636413719,72.92311366473132,0.7533418248166259
2026-04-29,72.65826568603515,72.88366483331404,71.29807193419751,74.8066820328872,74.95794484938641,73.3272257389057,76.93569140644672,71.37265337773215,74.39467628889594,72.88366483331404,0.7709242120315764
2026-04-30,72.59826354980468,72.8434243739556,71.19844958622424,74.84030545410505,75.00479732010194,73.31101367921943,77.06092883747891,71.30016493583234,74.38668381207886,72.8434243739556,0.787377264348598
2026-05-01,72.53821563720703,72.80396085646082,71.09970349424447,74.87472017899526,75.05167907595883,73.29480520388913,77.18637013246352,71.22967148423497,74.37825022868667,72.80396085646082,0.8032088633805341
2026-05-04,72.47817687988281,72.76532407943849,71.00188019768922,74.90997982689491,75.09859013526179,73.27860031212231,77.31201562325428,71.16260512313548,74.3680430357415,72.76532407943849,0.817713753215819
2026-05-05,72.41899719238282,72.72826806397269,70.90571264982225,74.94686393234598,75.14553051632691,73.2623990031267,77.43786564224514,71.09931331104526,74.35722281690012,72.72826806397269,0.8310993637384865
2026-05-06,72.36106567382812,72.69312621306632,70.8115215902582,74.98572126615325,75.1925002374818,73.24620127611017,77.56392052237116,71.03930288882023,74.34694953731241,72.69312621306632,0.8437874103296384
2026-05-07,72.30463256835938,72.66010333313031,70.71950150477957,75.02676920226595,75.23949931706545,73.23000713028078,77.69018059710928,70.9814336833715,74.33877298288911,72.66010333313031,0.8564641070197975
